Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
26/02/2018,Santos Laguna,Cruz Azul,2,0,H,2.24,3.5,3.42
03/03/2018,Club Tijuana,Lobos BUAP,3,1,H,2.16,3.33,3.83
03/03/2018,Monarcas,Atlas,2,1,H,2.16,3.35,3.81
03/03/2018,Cruz Azul,Queretaro,0,1,A,1.76,3.64,5.54
04/03/2018,Monterrey,Puebla,1,3,A,1.62,4.12,6.1
04/03/2018,Club Leon,U.N.A.M.- Pumas,3,0,H,2,3.92,3.7
04/03/2018,Necaxa,Santos Laguna,1,2,A,2.48,3.3,3.13
04/03/2018,Guadalajara Chivas,Club America,1,1,D,3.08,3.22,2.56
04/03/2018,Toluca,Pachuca,2,1,H,2.14,3.57,3.61
05/03/2018,Veracruz,U.A.N.L.- Tigres,0,2,A,3.9,3.53,2.06
10/03/2018,Monarcas,Veracruz,2,0,H,1.86,3.72,4.57
10/03/2018,Atlas,Puebla,1,0,H,2.88,3.16,2.77
10/03/2018,Cruz Azul,Pachuca,5,0,H,2.06,3.4,4.06
10/03/2018,Lobos BUAP,Guadalajara Chivas,0,1,A,2.32,3.65,3.17
10/03/2018,Queretaro,Necaxa,1,1,D,2.79,3.11,2.9
11/03/2018,U.A.N.L.- Tigres,Club Tijuana,1,0,H,1.65,3.86,6.32
11/03/2018,Club America,Club Leon,2,0,H,1.7,4.02,5.31
11/03/2018,U.N.A.M.- Pumas,Toluca,0,1,A,3.06,3.5,2.42
12/03/2018,Santos Laguna,Monterrey,3,2,H,2.54,3.44,2.94
17/03/2018,Puebla,Santos Laguna,0,1,A,2.48,3.32,3.14
17/03/2018,Club Tijuana,Monarcas,1,1,D,1.92,3.51,4.56
17/03/2018,Cruz Azul,U.N.A.M.- Pumas,1,1,D,1.75,3.85,5.17
18/03/2018,Monterrey,Queretaro,3,1,H,1.51,4.44,7.37
18/03/2018,Club Leon,Lobos BUAP,2,2,D,1.95,3.91,3.87
18/03/2018,Club America,Toluca,1,2,A,2.29,3.33,3.48
18/03/2018,Necaxa,Pachuca,1,1,D,2.33,3.34,3.37
18/03/2018,Guadalajara Chivas,U.A.N.L.- Tigres,0,0,D,2.83,3.25,2.75
19/03/2018,Veracruz,Atlas,3,1,H,2.5,3.25,3.15
31/03/2018,Monarcas,Guadalajara Chivas,1,2,A,2.48,3.36,3.09
31/03/2018,Atlas,Santos Laguna,3,2,H,3.87,3.49,2.08
01/04/2018,Lobos BUAP,Toluca,1,2,A,3.02,3.64,2.39
01/04/2018,Queretaro,Puebla,2,1,H,2.74,3.06,3
01/04/2018,U.A.N.L.- Tigres,Club Leon,4,1,H,1.63,4.32,5.55
01/04/2018,Pachuca,Monterrey,1,2,A,2.73,3.62,2.62
01/04/2018,Club America,Cruz Azul,2,1,H,2.33,3.25,3.48
01/04/2018,U.N.A.M.- Pumas,Necaxa,1,1,D,2.43,3.36,3.12
02/04/2018,Veracruz,Club Tijuana,1,0,H,2.99,3.25,2.61
07/04/2018,Puebla,Pachuca,2,6,A,2.36,3.35,3.31
07/04/2018,Club Tijuana,Atlas,2,2,D,1.61,4.11,6.27
07/04/2018,Cruz Azul,Lobos BUAP,1,0,H,1.79,3.86,4.84
08/04/2018,Monterrey,U.N.A.M.- Pumas,2,1,H,1.46,4.91,7.39
08/04/2018,Club Leon,Monarcas,2,3,A,1.9,3.96,4.06
08/04/2018,Necaxa,Club America,1,1,D,2.83,3.25,2.75
08/04/2018,Guadalajara Chivas,Veracruz,0,1,A,1.88,3.61,4.66
08/04/2018,Toluca,U.A.N.L.- Tigres,1,0,H,2.51,3.26,3.12
09/04/2018,Santos Laguna,Queretaro,3,0,H,1.64,4,6.03
14/04/2018,Atlas,Queretaro,1,0,H,2.4,3.03,3.59
14/04/2018,Club Tijuana,Guadalajara Chivas,3,0,H,1.55,4.24,7.04
14/04/2018,Lobos BUAP,Necaxa,0,1,A,2.37,3.46,3.18
15/04/2018,U.A.N.L.- Tigres,Cruz Azul,2,2,D,2.04,3.45,4.1
15/04/2018,Pachuca,Santos Laguna,3,1,H,2.32,3.59,3.17
15/04/2018,Monarcas,Toluca,0,1,A,3.26,3.36,2.37
15/04/2018,Club America,Monterrey,0,0,D,2.48,3.31,3.13
15/04/2018,U.N.A.M.- Pumas,Puebla,4,2,H,2.22,3.43,3.55
16/04/2018,Veracruz,Club Leon,1,2,A,2.43,3.55,3.01
21/04/2018,Puebla,Club America,3,1,H,3.84,3.45,2.11
21/04/2018,Atlas,Guadalajara Chivas,1,0,H,2.12,3.42,3.8
21/04/2018,Cruz Azul,Monarcas,2,0,H,1.88,3.75,4.45
21/04/2018,Queretaro,Pachuca,0,0,D,3.13,3.55,2.36
22/04/2018,Monterrey,Lobos BUAP,4,0,H,1.53,4.77,6.13
22/04/2018,Club Leon,Club Tijuana,1,1,D,2.21,3.63,3.36
22/04/2018,Necaxa,U.A.N.L.- Tigres,1,1,D,2.9,3.29,2.66
22/04/2018,Toluca,Veracruz,3,0,H,1.44,4.62,8.85
23/04/2018,Santos Laguna,U.N.A.M.- Pumas,1,2,A,1.85,4.05,4.23
28/04/2018,Monarcas,Necaxa,2,2,D,2.53,3.39,2.98
28/04/2018,Club Tijuana,Toluca,1,0,H,1.59,4.15,6.46
28/04/2018,Lobos BUAP,Puebla,0,1,A,3.01,3.96,2.24
29/04/2018,U.A.N.L.- Tigres,Monterrey,2,2,D,2.41,3.19,3.36
29/04/2018,Pachuca,Atlas,0,0,D,1.48,4.68,7.4
29/04/2018,Club America,Santos Laguna,1,0,H,2.04,3.62,3.86
29/04/2018,Guadalajara Chivas,Club Leon,0,2,A,2.49,3.62,2.88
29/04/2018,U.N.A.M.- Pumas,Queretaro,1,1,D,1.64,3.94,6.23
30/04/2018,Veracruz,Cruz Azul,1,2,A,3.63,3.6,2.12
03/05/2018,U.N.A.M.- Pumas,Club America,1,4,A,3.42,3.46,2.26
03/05/2018,Club Tijuana,Monterrey,1,1,D,2.7,3.18,2.94
04/05/2018,U.A.N.L.- Tigres,Santos Laguna,2,0,H,1.78,3.68,4.95
04/05/2018,Monarcas,Toluca,2,2,D,3.33,3.33,2.3
06/05/2018,Club America,U.N.A.M.- Pumas,2,1,H,1.76,4.06,4.57
06/05/2018,Monterrey,Club Tijuana,1,2,A,1.75,3.68,5.3
06/05/2018,Toluca,Monarcas,2,2,D,1.68,4.15,5.07
07/05/2018,Santos Laguna,U.A.N.L.- Tigres,2,0,H,2.36,3.62,3.02
11/05/2018,Santos Laguna,Club America,4,1,H,2.52,3.3,3
11/05/2018,Club Tijuana,Toluca,2,1,H,2.28,3.24,3.49
13/05/2018,Toluca,Club Tijuana,4,1,H,1.89,3.6,4.42
14/05/2018,Club America,Santos Laguna,2,2,D,1.55,4.75,5.6
