Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
23/09/2012,Guadalajara Chivas,U.N.A.M.- Pumas,0,0,D,2.45,3.2,3.28
29/09/2012,Chiapas,Cruz Azul,1,0,H,3.31,3.42,2.31
29/09/2012,Club Leon,Monterrey,2,0,H,1.96,3.63,4.17
29/09/2012,Club America,Monarcas,1,1,D,2.27,3.45,3.4
29/09/2012,Queretaro,Club Tijuana,0,1,A,3.2,3.32,2.43
30/09/2012,Pachuca,Guadalajara Chivas,1,0,H,2.22,3.29,3.66
30/09/2012,U.A.N.L.- Tigres,Atl. San Luis,0,0,D,1.52,4.21,7.64
30/09/2012,Atlas,Toluca,1,3,A,2.91,3.22,2.7
30/09/2012,U.N.A.M.- Pumas,Puebla,2,1,H,1.85,3.68,4.62
01/10/2012,Atlante,Santos Laguna,1,3,A,2.63,3.62,2.71
03/10/2012,Guadalajara Chivas,U.A.N.L.- Tigres,2,1,H,3.15,3.28,2.48
03/10/2012,Atl. San Luis,Club America,1,2,A,3.83,3.47,2.11
04/10/2012,Cruz Azul,Atlante,4,0,H,1.7,3.75,5.82
04/10/2012,Puebla,Pachuca,2,0,H,3.14,3.24,2.5
04/10/2012,Toluca,Queretaro,4,1,H,1.4,4.84,9.4
04/10/2012,Santos Laguna,Atlas,2,1,H,1.9,3.63,4.49
04/10/2012,Club Leon,U.N.A.M.- Pumas,2,1,H,1.61,3.98,6.53
04/10/2012,Monterrey,Club Tijuana,1,1,D,2,3.44,4.21
05/10/2012,Monarcas,Chiapas,1,1,D,1.82,3.77,4.75
06/10/2012,Club America,Guadalajara Chivas,1,3,A,1.87,3.57,4.72
07/10/2012,Pachuca,Club Leon,1,1,D,2.75,3.4,2.72
07/10/2012,Queretaro,Santos Laguna,1,1,D,3.89,3.59,2.04
07/10/2012,U.A.N.L.- Tigres,Puebla,1,2,A,1.47,4.65,7.83
07/10/2012,Atlas,Cruz Azul,1,1,D,3.56,3.33,2.25
07/10/2012,U.N.A.M.- Pumas,Monterrey,3,2,H,2.33,3.27,3.42
07/10/2012,Chiapas,Atl. San Luis,4,0,H,1.97,3.65,4.09
08/10/2012,Atlante,Monarcas,2,2,D,3.3,3.28,2.41
08/10/2012,Club Tijuana,Toluca,1,0,H,2.29,3.4,3.39
13/10/2012,Cruz Azul,Queretaro,3,2,H,1.34,5.08,10.42
14/10/2012,Atl. San Luis,Atlante,2,2,D,2.7,3.27,2.86
14/10/2012,Club Leon,U.A.N.L.- Tigres,2,0,H,1.78,3.73,5.11
14/10/2012,Santos Laguna,Club Tijuana,2,2,D,2.47,3.48,3
14/10/2012,U.N.A.M.- Pumas,Pachuca,1,0,H,1.99,3.48,4.3
14/10/2012,Guadalajara Chivas,Chiapas,1,1,D,2.17,3.41,3.67
20/10/2012,Chiapas,Puebla,2,0,H,1.71,3.87,5.3
20/10/2012,Club Tijuana,Cruz Azul,2,2,D,2.33,3.1,3.64
20/10/2012,Club America,Club Leon,2,1,H,2.5,3.57,2.88
20/10/2012,Queretaro,Monarcas,1,2,A,4.55,3.87,1.83
21/10/2012,Pachuca,Monterrey,1,1,D,2.56,3.3,3
21/10/2012,U.A.N.L.- Tigres,U.N.A.M.- Pumas,5,0,H,1.98,3.37,4.47
21/10/2012,Atlas,Atl. San Luis,2,3,A,1.98,3.46,4.32
21/10/2012,Toluca,Santos Laguna,4,1,H,2.06,3.67,3.71
22/10/2012,Atlante,Guadalajara Chivas,3,1,H,2.5,3.3,3.1
24/10/2012,Monarcas,Atlas,2,0,H,1.71,3.77,5.72
26/10/2012,Puebla,Club America,0,1,A,4.76,3.84,1.8
27/10/2012,Club Leon,Chiapas,4,1,H,1.74,3.99,4.98
27/10/2012,Atl. San Luis,Queretaro,0,0,D,1.77,3.92,4.84
27/10/2012,Cruz Azul,Toluca,3,0,H,2.34,3.47,3.23
28/10/2012,Monarcas,Club Tijuana,1,1,D,2.04,3.62,3.86
28/10/2012,Monterrey,Santos Laguna,3,2,H,1.91,3.72,4.26
28/10/2012,Pachuca,U.A.N.L.- Tigres,1,0,H,3.03,3.2,2.61
28/10/2012,Puebla,Atlante,1,2,A,2.78,3.24,2.81
28/10/2012,U.N.A.M.- Pumas,Club America,0,1,A,3.06,3.28,2.54
28/10/2012,Guadalajara Chivas,Atlas,2,0,H,2.15,3.34,3.83
03/11/2012,Chiapas,U.N.A.M.- Pumas,3,0,H,2.04,3.6,3.85
03/11/2012,Santos Laguna,Cruz Azul,2,1,H,2.68,3.29,2.87
03/11/2012,Club America,Pachuca,4,0,H,1.82,3.72,4.82
03/11/2012,Queretaro,Guadalajara Chivas,0,1,A,4.28,3.31,2.04
04/11/2012,Monterrey,U.A.N.L.- Tigres,0,1,A,2.57,3.19,3.1
04/11/2012,Club Tijuana,Atl. San Luis,0,0,D,1.53,4.11,7.66
04/11/2012,Toluca,Monarcas,0,0,D,2.17,3.52,3.58
04/11/2012,Atlas,Puebla,2,2,D,2.2,3.32,3.71
05/11/2012,Atlante,Club Leon,2,3,A,2.93,3.34,2.6
08/11/2012,Monterrey,Toluca,2,2,D,1.91,3.68,4.34
10/11/2012,Club Leon,Atlas,3,1,H,1.39,5.32,8.34
10/11/2012,Monarcas,Santos Laguna,2,0,H,2.06,3.68,3.7
10/11/2012,Cruz Azul,Monterrey,1,1,D,2.21,3.45,3.53
11/11/2012,Pachuca,Chiapas,2,1,H,2.99,3.23,2.63
11/11/2012,U.A.N.L.- Tigres,Club America,1,1,D,2.23,3.44,3.49
11/11/2012,Atl. San Luis,Toluca,0,2,A,3.54,3.49,2.19
11/11/2012,Puebla,Queretaro,0,1,A,1.87,3.78,4.44
11/11/2012,U.N.A.M.- Pumas,Atlante,3,2,H,2.04,3.51,3.99
11/11/2012,Guadalajara Chivas,Club Tijuana,0,2,A,2.83,3.09,2.87
15/11/2012,Cruz Azul,Club Leon,2,1,H,2.43,3.43,3.1
15/11/2012,Monarcas,Club America,0,2,A,2.23,3.38,3.56
16/11/2012,Monterrey,Club Tijuana,0,1,A,2.19,3.44,3.6
